Name,Borough,Area,Full_Address,Postcode,Opening_Times,Phone,Email,Website,Requirements,Cost,Services,Contact_Person,Notes,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Opening_Time,Closing_Time,Time_Notes,Service_FoodBank,Service_CommunityMeals,Service_Delivery,Service_Clothing,Service_Utilities,Service_Furniture,Access_Type,Latitude,Longitude,Has_Complete_Info,Last_Updated,Coordinate_Source,,
African Voice in Moston,Manchester,Harpurhey,"54 Kilnside Drive, Harpurhey",M9 5QP,Thursday 1pm- 3pm,7440775115,africanvoiceinmoston@yahoo.com,http://www.africanvoiceinmoston.org/,New referrals need to register a day before,£5 for individual parcel; £7 for family parcel,COLLECT & GO FOOD BANK; Delivery service available; Information advice and advocacy,,,N,N,N,Y,N,N,N,13:00,15:00,Thursday 1pm- 3pm,Y,N,Y,N,N,N,Referral,53.5065082,-2.2143572,Y,01/09/2025,original,,
Cancer Care Diaspora Support Group,Manchester,Harpurhey,"North City Family & Fitness Centre, Upper Conran Street",M9 4DA,Fridays 10:30-12pm; Saturdays 12-1pm,7885732781,info@cancercarediaspora.org,https://cancercarediaspora.org,Registration required,Free,Laura Urhobo,,,N,N,N,N,Y,Y,N,10:30,12:00,Fridays 10:30-12pm; Saturdays 12-1pm,N,N,N,N,N,N,Unknown,53.5127759,-2.2092037,Y,01/09/2025,original,,
Harpurhey Community Grocery,Manchester,Harpurhey,"Harpurhey Community Church, Carisbrook Street, Harpurhey",M9 5UX,Mo - Fri 9am-4pm,,,https://communitygrocery.org.uk/harpurhey,No referral required,"£5 annual membership; 12 items £5, 18 items £7.50, 24 items £10, 30 items £12.50",Community Grocery with variety of items,,,N,N,N,N,Y,N,N,09:00,16:00,Mo - Fri 9am-4pm,N,N,N,N,N,N,Both,53.5073638,-2.2111192,Y,01/09/2025,simplified_address,,
Bread and Butter Thing,Manchester,Monsall,"Manchester Comms Academy, 2A Silchester Drive, Monsall",M40 8NT,,,hello@breadandbutterthing.org,https://breadandbutterthing.org/,Membership pantry,Free,Please make contact for further details,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.5031117,-2.2166796,Y,01/09/2025,postcode,,
Family Unit Trust,Manchester,Monsall,"26 Wilsons Business Park, Monsall Rd, Monsall",M40 8WN,Saturdays 2:30pm A  4pm,0161 879 8398,info@familyunittrust.org.uk,https://www.familyunittrust.org.uk/familyunittrust,Individual needs to fill out form,Free,Food bank with delivery service for cancer patients,,,N,N,N,N,N,Y,N,14:30,16:00,Saturdays 2:30pm A  4pm,Y,N,Y,N,N,N,Unknown,53.5025829,-2.2064128,Y,01/09/2025,simplified_address,,
Equal Education Chances,Manchester,Monsall,BIZSPACE Wilsons Park. Monsall,M40 8WN,Tuesday A  Friday 10-3,0161 211 9016,equaleducationchances@gmail.com,Facebook:equaleducationchances,For those with no recourse to public funds or not on benefits,Free,Emergency food parcels; Delivery service available,,,N,Y,Y,Y,Y,N,N,10:00,03:00,Tuesday A  Friday 10-3,Y,N,Y,N,N,N,Unknown,53.499036,-2.206074,Y,01/09/2025,postcode,,
Ruby's diversity network,Manchester,Monsall,"Manchester communication Academy, Silchester drive",M40 8NT,Last Saturday of the month 12 to 2pm,07404 627097,rubysdiversnet@outlook.com,,Registration required,Free,Providing health and nutritious culturally appropriate food,,,Y,N,N,N,N,Y,N,,,Last Saturday of the month 12 to 2pm,N,N,N,N,N,N,Unknown,53.5031117,-2.2166797,Y,01/09/2025,original,,
Wellspring Community Church,Manchester,Moston,"Brendon Avenue, Moston, Manchester",M40 9DN,Wednesday's 12 A  1pm,0161 219 1284,office@wellspringcommunitychurch.org,http://wellspringcommunitychurch.org/,A £5 subscription and evidence of Benefit entitlement,Free emergency food (maximum 2 times),Food bank,,,N,N,Y,N,N,N,N,12:00,13:00,Wednesday's 12 A  1pm,Y,N,N,N,N,N,Unknown,53.5092311,-2.1941338,Y,01/09/2025,original,,
Bread and Butter Thing,Manchester,Moston,"St Lukes C of E Church, 173 Kenyon Lane Moston",M40 5HS,,,hello@breadandbutterthing.org,https://breadandbutterthing.org/,Membership pantry,Free,Please contact for further details,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.5094974,-2.1901912,Y,01/09/2025,simplified_address,,
Cancer Care Diaspora Support Group,Manchester,Moston,"Simpson Memorial Hall, 361 Moston Lane",M40 9NB,Wednesdays 12:30-2pm,7885732781,info@cancercarediaspora.org,https://cancercarediaspora.org,Registration required,Free,Food support,Laura Urhobo,,N,N,Y,N,N,N,N,12:30,14:00,Wednesdays 12:30-2pm,N,N,N,N,N,N,Unknown,53.5165445,-2.1893933,Y,01/09/2025,simplified_address,,
Bolton Road Community Pantry,Bury,Bury,"Bolton Road Methodist Church, Bolton Road, Bury",BL8 2EH,Thursdays 9.30 A  12.30pm,0161 764 1683,boltonroadpantry@gmail.com,,No referral required,£3 per week,Food pantry with groceries fresh produce and toiletries; Community Living Room; Wi-Fi,,,N,N,N,Y,N,N,N,09:30,12:00,Thursdays 9.30 A  12.30pm,N,N,N,N,N,N,Both,53.5868033,-2.3229488,Y,01/09/2025,original,,
Brandlesholme Community Centre & Foodbank,Bury,Bury,375b Brandlesholme Rd,BL8 1HS,9.30am - 12:30pm Monday Wednesday Friday,0161 797 7366,joanne@brandlesholme.net,https://www.facebook.com/Brandlesholme/,No referral required,Free,Food parcels with fresh frozen chilled ambient; Personal hygiene; Household supplies; Clothes bank; Bury Family Bank,,,Y,N,Y,N,Y,N,N,09:30,12:30,9.30am - 12:30pm Monday Wednesday Friday,Y,N,N,Y,N,Y,Both,53.6094931,-2.3147676,Y,01/09/2025,original,,
Bury Baptist Church,Bury,Bury,"114 Manchester Rd, Bury",BL9 0TH,3rd Wednesday of the month 10am - 1 pm,,allan. tweedale2020@outlook.com,http://www.burybaptist.org,Registration required,£3 per bag of food,Food support,Allan Tweedale,,Y,N,Y,N,N,N,N,10:00,13:00,3rd Wednesday of the month 10am - 1 pm,N,N,N,N,N,N,Unknown,53.5867231,-2.3006878,Y,01/09/2025,original,,
FGRS Community Hub,Bury,Bury,"Bury Football Club, Gigg Lane",BL9 9HU,Monday 12:30pm A  2.30pm; Wednesday 10:00am - 12:30pm; Friday 1 A  3pm,,help@fgrscommunityhub.co.uk,https://www.fgrscommunityhub.co.uk/,No crisis requirement,£3 for 12 items; £5 for baby items,Food pantry; Baby items; School uniform shop; Warm space; Hot drinks and toast,,Only covers Redvales ward but will not turn anyone away,Y,N,Y,N,Y,N,N,12:30,02:00,Monday 12:30pm A  2.30pm; Wednesday 10:00am - 12:30pm; Friday 1 A  3pm,N,N,N,Y,N,N,Unknown,53.5805538,-2.2949212,Y,01/09/2025,simplified_address,,
Halal Fusion Food Bank,Bury,Bury,90 South Cross Street Bury,BL9 0RS,9am till 2.30pm face to face then 2.30pm till 5pm virtual or telephone,0161 280 2270,,https://www.bawc.org.uk/,Currently at capacity - contact for availability,Free,Food bank,,,N,N,N,N,N,N,N,,,9am till 2.30pm face to face then 2.30pm till 5pm virtual or telephone,Y,N,N,N,N,N,Referral,53.5903895,-2.2883533,Y,01/09/2025,original,,
The Salvation Army Food Club Bury,Bury,Bury,"18 Brookshaw Street, Bury",BL9 6EB,Every Tuesday 11am. - 2pm,7732513602,bury@salvationarmy.org.uk,https://www.salvationarmy.org.uk/bury,Registration at first visit,£5 annual membership; £3 per visit for £10-£15 worth of goods,Food Club,,,N,Y,N,N,N,N,N,,,Every Tuesday 11am. - 2pm,N,N,N,N,N,N,Unknown,53.6009222,-2.2883669,Y,01/09/2025,original,,
Organic Soul,Bury,Bury,,,,07948 833994,info. organicsoul@gmail.com,https://www.facebook.com/organicsoul.uk,Referral required,Free,Local foodbank delivering essential food weekly,,,N,N,N,N,N,N,N,,,,Y,N,N,N,N,N,Unknown,52.4355166,-0.1068323,N,01/09/2025,area,,
The Attic Project,Bury,Bury,3 Russell Street Bury,BL9 5AX,Tuesday and Thursday from 10am until 2pm; Warm food Tuesday 11 -1pm,0161 258 6145,info@atticprojectbury.com,https://atticproject.com/,No referral required,Free,Community foodbank in Bury East; Emergency deliveries; Wrap around support; Peer support groups,,,N,Y,N,Y,N,N,N,11:00,13:00,Tuesday and Thursday from 10am until 2pm; Warm food Tuesday 11 -1pm,Y,N,Y,N,N,N,Both,53.6014667,-2.2908279,Y,01/09/2025,original,,
Topping Fold Community Centre,Bury,Bury,36 -44 topping fold road Bury,BL9 7NG,Every Thursday 9:30 A  2pm,07860 652337,toppingfoldtra@gmail.com,,Referral or drop in,Small donation requested,Food bank,,,N,N,N,Y,N,N,N,09:30,14:00,Every Thursday 9:30 A  2pm,Y,N,N,N,N,N,Both,53.5970278,-2.2685642,Y,01/09/2025,simplified_address,,
Trust House Bury,Bury,Bury,Metro Christian centre Parkhills Road Bury,BL9 9AU,Tuesdays and Thursdays 10am- 12pm,,info@trusthousebury.org,https://m.facebook.com/trusthousewhitefield.org,Can use Healthy Start Vouchers,Standard pantry £3; Family £5,Food pantry; Community cafe for breakfast and lunch,,,N,Y,N,Y,N,N,N,10:00,12:00,Tuesdays and Thursdays 10am- 12pm,N,Y,N,N,N,N,Referral,51.8774762,-0.4213992,Y,01/09/2025,simplified_address,,
Heaton Park Food Pantry,Bury,Prestwich,"Corner of Heaton Street/Bedford Street, Prestwich",M25 1HX,Tuesday 3-5pm; Thursday 9-11am,0161 759 1751,heatonparkmethodist@gmail.com,https://www.facebook.com/heatonparkfoodpantry,No referral required,£3 per bag (limited to 1 bag per visit),Food pantry; Warm space pay as you can cafe,,,N,Y,N,Y,N,N,N,03:00,17:00,Tuesday 3-5pm; Thursday 9-11am,N,Y,N,N,N,N,Both,53.5312017,-2.2711466,Y,01/09/2025,simplified_address,,
GIFT - Give it Forward Today,Bury,Prestwich,"5 Park Hill, Bury old road",M25 0FX,Mon - Thurs 9-3pm,07789 332464,,,Jewish community Foodbank,Free,Jewish community Foodbank,,,Y,N,N,Y,N,N,N,09:00,15:00,Mon - Thurs 9-3pm,Y,N,N,N,N,N,Unknown,53.5182416,-2.2580096,Y,01/09/2025,simplified_address,,
L'Chaim-Chabad,Bury,Prestwich,"42 Singleton Road, Salford",M7 4LN,Check for details,0161 792 6335,foodbank@lchaim.org.uk,http://lchaimfoodbank.co.uk/,Appointment required,Free,Jewish community foodbank,,,N,N,N,N,N,N,N,,,Check for details,Y,N,N,N,N,N,Unknown,53.5158844,-2.2628978,Y,01/09/2025,original,,
Creative Living Centre FoodCycle,Bury,Prestwich,1a Rectory Lane,M25 1BP,Saturday's 5.45pm,,prestwich@foodcycle.org.uk,https://foodcycle.org.uk/location/foodcycle-prestwich/,Guests must be over 18,Free,Hot meals only,,Family Friendly No,N,N,N,N,N,Y,N,,,Saturday's 5.45pm,N,Y,N,N,N,N,Unknown,53.5315691,-2.2822607,Y,01/09/2025,original,,
Porch Boxes,Bury,Radcliffe,"Unit 14 Bradley Fold Trading Estate, Radcliffe Moor Road, Radcliffe",BL2 6RT,,,0161 761 5908,,Work through agencies,Free,Crisis packs in boxes or carrier bags; Baby Items; Do not give packs directly to individuals,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.5714217,-2.3636305,Y,01/09/2025,simplified_address,,
St. Johns Radcliffe Hub,Bury,Radcliffe,"St. Johns C of E Primary School, Johnson Street",M26 1NW,Monday's 2.30pm (starting 16th June 2025),0161 723 1078,e. cope@thesycamoretrust.co.uk,,Need to become member via text,£8.50 per visit; Healthy Start Vouchers accepted,Bread and Butter Thing membership pantry,Liz Cope,,Y,N,N,N,N,N,N,,,Monday's 2.30pm (starting 16th June 2025),N,N,N,N,N,N,Unknown,53.5546474,-2.3248044,Y,01/09/2025,simplified_address,,
Radcliffe Food Club,Bury,Radcliffe,"Bridge Community Church, Milltown Street / Regan Street, Radcliffe",M26 1WD,Wednesday's 10-12,,,,Registration required,£5 annual membership; £4 for 12 items,Food club; Clothes shop; Hot drinks/toast; Community cafÃ©; Housing and advice support,,,N,N,Y,N,N,N,N,10:00,12:00,Wednesday's 10-12,N,N,N,Y,N,N,Unknown,53.559027,-2.3213602,Y,01/09/2025,simplified_address,,
Growing Together Radcliffe Support CIC,Bury,Radcliffe,"GTR centre (formerly The ROC centre / Y zone) Westminster Ave, Radcliffe",M26 3WD,Fri 9 - 12 for collection; Phone Mon - Fri 10 - 3.30 pm,7963605283,growing. together. radfbank@gmail.com,https://www.trinityfoodbank.co.uk,Referral only via school Housing Officer CAB support Worker or professional,Free,Food parcels; Safe warm space; Hate Crime reporting centre; Home made soup; Household/children toys stall,,For residents in Radcliffe and Ainsworth,Y,Y,Y,Y,Y,N,N,09:00,12:00,Fri 9 - 12 for collection; Phone Mon - Fri 10 - 3.30 pm,Y,N,N,N,N,Y,Referral,53.5675497,-2.3465186,Y,01/09/2025,postcode,,
Trinity Baptist Church,Bury,Radcliffe,"16 Westminster Avenue, Radcliffe",M26 3WD,Tuesdays 9:30am - 11:30am,0161 724 4921,trinityradcliffe@outlook.com,,Annual membership,£5.00 annual membership; £4 per visit,Radcliffe Food Club; Community cafe,Pastor Phil Brawn,,N,Y,N,N,N,N,N,09:30,11:30,Tuesdays 9:30am - 11:30am,N,Y,N,N,N,N,Unknown,53.5675591,-2.3479345,Y,01/09/2025,original,,
Ramsbottom Pantry,Bury,Ramsbottom,"Christ Church carpark, Great Eaves Road, Ramsbottom",BL0 0PX,Tuesdays & Thursdays between 10 A  12,07566 712558,info@ramsbottompantry.uk,https://www.ramsbottompantry.uk,Cover BL0 BL8 & BL9 postcodes,£5 per week; free pack available for those unable to pay,Food pantry; Drop in cafe for tea & toast; Warm space with soup Thursdays,,,N,Y,N,Y,N,N,N,10:00,12:00,Tuesdays & Thursdays between 10 A  12,N,Y,N,N,N,N,Unknown,53.6527579,-2.3156168,Y,01/09/2025,simplified_address,,
St Andrew's Church Community Hub,Bury,Whitefield,"Mersey Drive, Hillock Estate, Whitefield",M45 8LA,Wednesday 12.30pm to 3pm,07873 520 072,foodpantryhillock@gmail.com,,Registration required; Waiting list if full,£3 a week for about £15 worth of food,Food Pantry; Good as new shop; Breakfast Club with extra support during school holidays,,For Hillock Estate community,N,N,Y,N,N,N,N,,,Wednesday 12.30pm to 3pm,N,Y,N,N,N,N,Unknown,53.5545182,-2.2752285,Y,01/09/2025,simplified_address,,
Bread and Butter Thing,Manchester,Ancoats,"St Anne's Primary School, Carruthers Street",M4 7EQ,,,https://breadandbutterthing. org,Membershippantry,Registration required,Please make contact for further details,,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4811899,-2.2169586,N,01/09/2025,original,,
Mustard Tree,Manchester,Ancoats,110 Oldham Road,M4 6AG,Monday: 10am A  2pm; Wednesday: 10am A  2pm; Saturday: 10am A  2pm,0161 228 7331,referrals@mustardtree.org.uk,http://www.mustardtree.org.uk/,ID and proof of benefits required for registration,£3 for items worth approx. £10 - £20,Food Club (once per week); Other services available,,,Y,N,Y,N,N,Y,N,10:00,14:00,Monday: 10am A  2pm; Wednesday: 10am A  2pm; Saturday: 10am A  2pm,N,N,N,N,N,N,Unknown,53.4864978,-2.2281029,Y,01/09/2025,original,,
Manchester Central Trussell Trust,Manchester,Ardwick,"Brunswick Parish Church, Brunswick Street",M13 9SX,Friday 10.30 A  12.30pm,7928412339,info@manchestercentral.foodbank.org.uk,http://manchestercentral.foodbank.org.uk,Foodbank Voucher,Free,Foodbank,,,N,N,N,N,Y,N,N,10:30,12:00,Friday 10.30 A  12.30pm,Y,N,N,N,N,N,Referral,53.4688642,-2.2261439,Y,01/09/2025,original,,
Ardwick and Longsight Foodbank,Manchester,Ardwick,"Transformation Community Resource Centre, 11 Richmond Grove, Longsight",M13 0LN,11am-1pm Monday or Thursday,0161 273 3977 07853553732,info@ardwickandlongsightfoodbank.org.uk,http://ardwickandlongsightfoodbank.org.uk/,Referral preferred but not required,Free,Food bank; Delivery service for anyone mobility impaired,,,Y,N,N,Y,N,N,N,11:00,13:00,11am-1pm Monday or Thursday,Y,N,Y,N,N,N,Referral,53.4658937,-2.2131827,Y,01/09/2025,simplified_address,,
Kingdom Mandate Centre,Manchester,Beswick,"Empowerment House, 410 Ashton Old Road",M11 2DT,Tuesday to Friday 11:30am - 2:00pm,0161 223 3007 07799066755,kmcmanchester@gmail.com,,Referral required,Free,Food bank; clothes bank,,,N,Y,N,N,Y,N,N,11:30,14:00,Tuesday to Friday 11:30am - 2:00pm,Y,N,N,Y,N,N,Unknown,53.474302,-2.1988611,Y,01/09/2025,simplified_address,,
Revive,Manchester,Beswick,"St Brigid's Parish Hall, Greymare Lane",M11 3NR,Mon 11:00am - 4pm last entry 2.30pm (Hot meal served every Tuesday between 10am to 2pm),0161 223 5668,info@revive-uk.org,http://www.revive-uk.org/need-destitution-or-emergency-support/,For refugees and asylum seekers,Free,Emergency food parcels,,,Y,Y,N,N,N,N,N,11:00,16:00,Mon 11:00am - 4pm last entry 2.30pm (Hot meal served every Tuesday between 10am to 2pm),Y,N,N,N,N,N,Unknown,51.5000209,-0.192442,Y,01/09/2025,postcode,,
Bread and Butter Thing,Manchester,Beswick,"Beswick Library, 60 Grey Mare Lane",M11 3DS,,,https://breadandbutterthing. org,Membershippantry,Registration required,Please make contact for further details,,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4780498,-2.1965851,N,01/09/2025,original,,
Beacon Centre Community Grocer,Manchester,Beswick,"Clayton SureStart Children's Centre, 101 North Road",M11 4NE,Fridays 10am-12noon,0161 243 2435,hello@beaconcentremcr.co.uk,http://www.beaconcentremcr.co.uk/,"Applicants must live in Beswick, Clayton or Openshaw and be referred by one of our approved local referral partners",£5 per visit for food up to the value of £30,Community Grocer; Membership only scheme; Members entitled to 1 weekly visit for 6 months; Discreet sanitary packs available,Kay Symcox,Following severe fire damage the grocer is temporarily relocated,N,N,N,N,Y,N,N,10:00,12:00,Fridays 10am-12noon,N,N,N,N,N,N,Referral,53.4779203,-2.2056552,Y,01/09/2025,simplified_address,,
Feed my city,Manchester,Bradford,"Unit 2, 63-65, Beswick St",M4 7HR,*Dry bag collection* Monday-Friday: 9 am-3 pm; Saturday: 11 am-3 pm; Sunday: 11 am-1 pm; *Hot meal collection* Monday-Friday: 11 am-3 pm,0300 365 3101,,https://www.feedmycity.org,No referral required,Free,Emergency dry food bags and hot meals; This service is for emergencies not long-term support,,,Y,Y,Y,Y,Y,Y,Y,09:00,15:00,*Dry bag collection* Monday-Friday: 9 am-3 pm; Saturday: 11 am-3 pm; Sunday: 11 am-1 pm; *Hot meal collection* Monday-Friday: 11 am-3 pm,N,Y,N,N,N,N,Both,53.4830117,-2.213306,Y,01/09/2025,simplified_address,,
Lifeshare Ltd,Manchester,City centre,"First floor, 36-38 Sackville St",M1 3WA,Tuesdays + Thursdays 12 - 4pm,,office@lifeshare.org.uk,,Appointment required,Free,Food Bank,,,N,Y,N,Y,N,N,N,12:00,16:00,Tuesdays + Thursdays 12 - 4pm,Y,N,N,N,N,N,Referral,53.4772043,-2.2375168,Y,01/09/2025,simplified_address,,
Miles Platting Community Grocer,Manchester,Miles Platting,"Queensbury Court, Wardle Street",M40 7DD,Thursday 12 - 2pm,7708835624,vikki. barry@jigsawhomes.org.uk,,Open to people living within 15 minutes' walk,£3 for a shop,Social Supermarket,,,N,N,N,Y,N,N,N,12:00,14:00,Thursday 12 - 2pm,N,N,N,N,N,N,Walk-in,53.48849,-2.21197,Y,01/09/2025,postcode,,
The church of the Apostles FB,Manchester,Miles Platting,Ridgway Street,M40 7FY,Wednesday 12 A  7pm; Friday 12 A  4pm; Saturday 12 A  2pm,07393 574571,supermarket@greatertogethermanchester.org,,People live within a twenty min walk,£4 per visit for food value of £40,Social Supermarket; Clothing shoes bedding furniture electrical items; Fuel costs support; Warm hub,,,N,N,Y,N,Y,Y,N,12:00,19:00,Wednesday 12 A  7pm; Friday 12 A  4pm; Saturday 12 A  2pm,N,N,N,Y,Y,Y,Walk-in,53.4864847,-2.2137898,Y,01/09/2025,original,,
Wonderfully made woman food bank,Manchester,Miles Platting,Unit 80 Cariocca business park 2 Sawley Road,M40 8BB,,7354471340,juliana@wonderfullymadewoman.org,https://www.wonderfullymadewoman.org,Referral required,Free,Food support for BAME families with culturally appropriate food; Delivery service available,Emem Eze,Seasonal support dependent on funding,N,N,N,N,N,N,N,,,,N,N,Y,N,N,N,Referral,53.4943127,-2.2095921,Y,01/09/2025,simplified_address,,
St Martin's Church,Manchester,Baguley,"St Martin's Church Hall, Bowland Road",M23 1LX,,0161 998 2715,,https://www.wythenshawe-anglican.org/stmartins.html,Referral required,Donations welcome,Food bank; Little Lighthouse Baby Bank Thursdays 10.00-12noon,,Referral letter helpful for baby items,N,N,N,N,N,N,N,,,,Y,N,N,N,N,N,Unknown,53.3945366,-2.2884874,Y,01/09/2025,simplified_address,,
Wythenshawe Foodbank,Manchester,Benchill,"Benchill Community Centre, Benchill Road",M22 8EJ,Fri 12.30 A  2pm,0161 946 9520,info@wythenshawe.foodbank.org.uk,http://wythenshawe.foodbank.org.uk,Foodbank Voucher,Free,Foodbank,,,N,N,N,N,Y,N,N,10:30,14:00,Fri 12.30 A  2pm,Y,N,N,N,N,N,Referral,53.3936729,-2.2662536,Y,01/09/2025,original,,
Wythenshawe Foodbank,Manchester,Benchill,"St Luke's Church, Brownley Road, Benchill",M22 4PT,Sat 11- 12; Call 07476 305947,0161 946 9520,info@wythenshawe.foodbank.org.uk,http://wythenshawe.foodbank.org.uk,Foodbank Voucher,Free,Foodbank,,,N,N,N,N,N,Y,N,11:00,12:00,Sat 11- 12; Call 07476 305947,Y,N,N,N,N,N,Referral,53.3886566,-2.2560418,Y,01/09/2025,simplified_address,,
Perrys Pantry Foodbank,Manchester,Benchill,54 Merseybank Avenue,M21 7NN,Tuesday: 1pm - 3.30pm; Wednesday: 10.30-3.30pm; Thursday: 10.30-3.30pm,7563573358,perryspantryfoodbank@gmail.com,https://www.perryspantry.org,No evidence required for foodbank; Must live in M20 or M21 postcode for pantry,£5 joining fee and £6 or £9 weekly shopping fee for pantry,Foodbank and Pantry service; Two free food parcels with referral,,,N,Y,Y,Y,N,N,N,13:00,03:00,Tuesday: 1pm - 3.30pm; Wednesday: 10.30-3.30pm; Thursday: 10.30-3.30pm,Y,N,N,N,N,N,Unknown,53.4225509,-2.2624323,Y,01/09/2025,original,,
St Michael's,Manchester,Northern Moor,"St Michael & All Angels' Church, Orton Road",M23 0LH,,0161 998 2715,,https://www.wythenshawe-anglican.org/stmichaels.html,Referral required,Varies depending on availability,Food bank,,,N,N,N,N,N,N,N,,,,Y,N,N,N,N,N,Unknown,53.4111865,-2.2816554,Y,01/09/2025,simplified_address,,
Community Grocery,Manchester,Sharston,"The Message Enterprise Centre, Harper Road, Sharston",M22 4RG,9:30am A  4:30pm Monday to Friday (except for Tuesday when we open at 10am),0161 946 9494,hello@communitygrocery.org.uk,https://www.communitygrocery.org.uk,Registration required,"£5 annual membership; small shop (12 points) £5, medium shop (18 points) £7.50, large shop (24 points) £10, extra large shop (30 points) £12.50; additional items 50p each","Community Grocery; Free wrap-around support courses available on a daily basis (eg. Cooking classes, money management, mental health support)",,Members can shop as often as they like,Y,Y,N,N,Y,N,N,09:30,16:30,9:30am A  4:30pm Monday to Friday (except for Tuesday when we open at 10am),N,N,N,N,N,N,Unknown,53.39991,-2.2523399,Y,01/09/2025,postcode,,
Wythenshawe Foodbank,Manchester,Wythenshawe,"Dandelion Community Centre, Oatlands Road, Wythenshawe",M22 1AH,Mon 10:30 A  1pm; Wed 10.30 - 1pm,0161 437 4392,info@wythenshawe.foodbank.org.uk,http://wythenshawe.foodbank.org.uk,Foodbank Voucher,Free,Foodbank,,,Y,N,Y,N,N,N,N,10:30,13:00,Mon 10:30 A  1pm; Wed 10.30 - 1pm,Y,N,N,N,N,N,Referral,53.3839809,-2.2502986,Y,01/09/2025,simplified_address,,
Wythenshawe Foodbank,Manchester,Wythenshawe,"St. Richard's Church Peel Hall, 2 Leominster Dr, Wythenshawe",M22 5HB,Tues. 9.15 A  10.15am,,info@wythenshawe.foodbank.org.uk,http://wythenshawe.foodbank.org.uk,Foodbank Voucher,Free,Foodbank,,,N,Y,N,N,N,N,N,15:00,10:00,Tues. 9.15 A  10.15am,Y,N,N,N,N,N,Referral,53.3793434,-2.2492804,Y,01/09/2025,simplified_address,,
Know Africa foundation,Manchester,Wythenshawe,"Wythenshawe Community Church, 94 Crossacres Road",M22 5BS,Every Thursday 10-12,,knowafricafoundation@gmail.com,http://www.knowafricafoundation.com/,Registration required,Free,Food support,,,N,N,N,Y,N,N,N,10:00,12:00,Every Thursday 10-12,N,N,N,N,N,N,Unknown,53.3829575,-2.2530494,Y,01/09/2025,simplified_address,,
Tree of Life Centre,Manchester,Wythenshawe,Greenbrow Road,M23 2UE,Food Pantry Tuesday A  Friday 10.00-2.00,0161 489 7018,info@treeoflifecentre.org.uk,https://www.treeoflifecentre.org.uk,Foodbank referrals from Statutory Agencies; M23 or M22 Residents,Food pantry from £4.50; meals from £1.50; free access for vulnerable people,Foodbank; Food Pantry; Open to All Meals; Delivery service may be available,,Assessment for vulnerable people for Limited Free Access,N,Y,Y,Y,Y,N,N,00:00,02:00,Food Pantry Tuesday A  Friday 10.00-2.00,Y,N,Y,N,N,N,Referral,53.379936,-2.2879122,Y,01/09/2025,original,,
Wythenshawe Foodbank,Manchester,Wythenshawe,"Sandilands Primary School, Wendover Road, Wythenshawe",M23 9JX,Thu 15:30 - 17:00,,info@wythenshawe.foodbank.org.uk,http://wythenshawe.foodbank.org.uk,Foodbank Voucher,Free,Foodbank,,,N,N,N,Y,N,N,N,15:30,17:00,Thu 15:30 - 17:00,Y,N,N,N,N,N,Referral,53.4033433,-2.3083781,Y,01/09/2025,original,,
Community Grocery Fare Shop,Manchester,Wythenshawe,"Crossacres Resource Centre, 1 Peel Hall Road, Wythenshawe",M22 5DG,1pm A  3pm Tuesdays; 11am A  1pm Wednesdays,,fareshopinfo@gmail.com,https://www.fare-shop.co.uk/,For people on any state benefit,£2 annual membership fee,Community Grocery; Basic food and household items on open shelves priced individually,,,N,Y,Y,N,N,N,N,13:00,15:00,1pm A  3pm Tuesdays; 11am A  1pm Wednesdays,N,N,N,N,N,Y,Unknown,53.3982398,-2.2470844,Y,01/09/2025,simplified_address,,
Bread and Butter Thing,Manchester,Wythenshawe,"St Lukes, Brownley Road, Wythenshawe",M22 4PT,,,https://breadandbutterthing. org/,Membershippantry,Registration required,Please make contact for further details,,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.3886566,-2.2560418,N,01/09/2025,simplified_address,,
Brooklands Church of the Nazarene FoodCycle,Manchester,Wythenshawe,Wendover Road,M23 9FN,Wednesday's 5pm,,brooklands@foodcycle.org.uk,https://foodcycle.org.uk/location/foodcycle-wythenshawe-brooklands,Registration required,Free,Hot meals only,,Family Friendly,N,N,Y,N,N,N,N,,,Wednesday's 5pm,N,Y,N,N,N,N,Unknown,51.5347402,-0.2458652,Y,01/09/2025,original,,
Food Pantry Brooklands Church of the Nazarene,Manchester,Wythenshawe,Wendover Road,M23 9FN,"Thursdays only, 11am to 2pm",,charmaine. hamnett@gmail.com,https://www.facebook.com/Brooklandscafeandpantry,Registration required,Membership fees apply,Food Pantry; Community cafe running simultaneously on donation basis,Charmaine Hamnett,,N,N,N,Y,N,N,N,,,"Thursdays only, 11am to 2pm",N,Y,N,N,N,N,Unknown,51.5347402,-0.2458652,Y,01/09/2025,original,,
